date,open,high,low.close,volume,unadjClose,flag
19750711,94.81,95.69,93.83,94.66,2221,94.66,1.0
19750714,94.66,95.76,94.04,95.19,2190,95.19,1.0
19750715,95.19,96.58,94.71,95.61,2834,95.61,1.0
19750716,95.61,96.37,94.2,94.61,2525,94.61,1.0
19750717,94.61,95.03,92.99,93.63,2142,93.63,1.0
19750718,93.63,93.96,92.39,93.2,1687,93.2,1.0
19750721,93.2,93.93,92.03,92.44,1669,92.44,1.0
19750722,92.44,92.49,90.63,91.45,2066,91.45,1.0
19750723,91.45,92.15,89.83,90.18,2015,90.18,1.0
19750724,90.18,90.95,88.9,90.07,2055,90.07,1.0
19750725,90.07,90.72,88.72,89.29,1511,89.29,1.0
19750728,89.29,89.68,88.02,88.69,1485,88.69,1.0
19750729,88.69,89.91,87.71,88.19,1900,88.19,1.0
19750730,88.19,89.49,87.68,88.83,1615,88.83,1.0
19750731,88.83,90.07,88.31,88.75,1454,88.75,1.0
19750801,88.75,89.04,87.46,87.99,1332,87.99,1.0
19750804,87.99,88.17,86.68,87.15,1262,87.15,1.0
19750805,87.15,87.81,85.89,86.23,1547,86.23,1.0
19750806,86.23,87.04,85.34,86.25,1628,86.25,1.0
19750807,86.25,87.24,85.69,86.3,1239,86.3,1.0
19750808,86.3,87.0,85.52,86.02,1166,86.02,1.0
19750811,86.02,86.89,85.34,86.55,1235,86.55,1.0
19750812,86.55,88.17,86.49,87.12,1451,87.12,1.0
19750813,87.12,87.41,85.61,85.97,1200,85.97,1.0
19750814,85.97,86.34,85.02,85.6,1246,85.6,1.0
19750815,85.6,86.76,85.33,86.36,1061,86.36,1.0
19750818,86.36,87.21,85.76,86.2,1081,86.2,1.0
19750819,86.2,86.47,84.66,84.95,1499,84.95,1.0
19750820,84.78,84.78,82.76,83.22,1863,83.22,1.0
19750821,83.22,84.15,82.21,83.07,1661,83.07,1.0
19750822,83.07,84.61,82.79,84.28,1305,84.28,1.0
19750825,84.28,85.58,84.06,85.06,1125,85.06,1.0
19750826,85.06,85.4,83.65,83.96,1135,83.96,1.0
19750827,83.96,84.79,83.35,84.43,1110,84.43,1.0
19750828,84.68,86.64,84.68,86.4,1453,86.4,1.0
19750829,86.4,87.73,86.1,86.88,1548,86.88,1.0
19750902,86.88,87.42,85.21,85.48,1146,85.48,1.0
19750903,85.48,86.38,84.62,86.03,1226,86.03,1.0
19750904,86.03,86.91,85.29,86.2,1281,86.2,1.0
19750905,86.2,86.49,85.19,85.62,1168,85.62,1.0
19750908,85.62,86.31,84.89,85.89,1150,85.89,1.0
19750909,85.89,86.73,84.37,84.6,1579,84.6,1.0
19750910,84.59,84.59,83.0,83.79,1478,83.79,1.0
19750911,83.79,84.3,82.88,83.45,1110,83.45,1.0
19750912,83.45,84.47,82.84,83.3,1223,83.3,1.0
19750915,83.3,83.49,82.29,82.88,867,82.88,1.0
19750916,82.88,83.43,81.79,82.09,1309,82.09,1.0
19750917,82.09,82.93,81.57,82.37,1219,82.37,1.0
19750918,82.37,84.34,82.23,84.06,1456,84.06,1.0
19750919,84.26,86.39,84.26,85.88,2083,85.88,1.0
19750922,85.88,86.7,84.7,85.07,1475,85.07,1.0
19750923,85.07,85.51,83.8,84.94,1280,84.94,1.0
19750924,85.03,86.7,85.03,85.74,1606,85.74,1.0
19750925,85.74,86.41,84.79,85.64,1289,85.64,1.0
19750926,85.64,86.86,85.13,86.19,1257,86.19,1.0
19750929,86.19,86.38,84.74,85.03,1058,85.03,1.0
19750930,85.01,85.01,83.44,83.87,1252,83.87,1.0
19751001,83.87,85.45,82.57,82.93,1407,82.93,1.0
19751002,82.93,84.33,82.82,83.82,1429,83.82,1.0
19751003,83.88,86.21,83.88,85.95,1636,85.95,1.0
19751006,85.98,87.64,85.98,86.88,1547,86.88,1.0
19751007,86.88,87.32,85.56,86.77,1353,86.77,1.0
19751008,86.77,88.46,86.34,87.94,1780,87.94,1.0
19751009,87.94,89.42,87.6,88.37,1777,88.37,1.0
19751010,88.37,89.17,87.44,88.21,1488,88.21,1.0
19751013,88.21,89.67,87.73,89.46,1202,89.46,1.0
19751014,89.46,90.8,88.81,89.28,1996,89.28,1.0
19751015,89.28,90.07,88.5,89.23,1444,89.23,1.0
19751016,89.23,90.73,88.9,89.37,1891,89.37,1.0
19751017,89.37,89.87,88.08,88.86,1565,88.86,1.0
19751020,88.86,90.14,88.43,89.82,1325,89.82,1.0
19751021,89.82,91.43,89.79,90.56,2080,90.56,1.0
19751022,90.56,91.38,89.77,90.71,1606,90.71,1.0
19751023,90.71,91.75,90.09,91.24,1790,91.24,1.0
19751024,91.24,91.52,89.46,89.83,1812,89.83,1.0
19751027,89.83,90.4,88.85,89.73,1310,89.73,1.0
19751028,89.73,91.01,89.4,90.51,1706,90.51,1.0
19751029,90.51,90.61,88.89,89.39,1611,89.39,1.0
19751030,89.39,90.2,88.7,89.31,1508,89.31,1.0
19751031,89.31,89.8,88.35,89.04,1291,89.04,1.0
19751103,89.04,89.21,87.78,88.09,1140,88.09,1.0
19751104,88.09,89.03,87.63,88.51,1157,88.51,1.0
19751105,88.51,90.08,88.32,89.15,1739,89.15,1.0
19751106,89.15,90.15,88.16,89.55,1860,89.55,1.0
19751107,89.55,90.18,88.67,89.33,1593,89.33,1.0
19751110,89.33,89.98,88.35,89.34,1491,89.34,1.0
19751111,89.34,90.47,89.04,89.87,1464,89.87,1.0
19751112,89.87,91.63,89.8,91.19,2396,91.19,1.0
19751113,91.19,92.33,90.56,91.04,2507,91.04,1.0
19751114,91.04,91.59,90.19,90.97,1646,90.97,1.0
19751117,90.97,91.99,90.5,91.46,1766,91.46,1.0
19751118,91.46,92.3,90.6,91.0,2076,91.0,1.0
19751119,91.0,91.28,89.47,89.98,1682,89.98,1.0
19751120,89.98,90.68,89.09,89.64,1646,89.64,1.0
19751121,89.64,90.23,88.79,89.53,1411,89.53,1.0
19751124,89.53,90.17,88.65,89.7,1393,89.7,1.0
19751125,89.7,91.1,89.66,90.71,1749,90.71,1.0
19751126,90.71,91.58,90.17,90.94,1878,90.94,1.0
19751128,90.94,91.74,90.44,91.24,1287,91.24,1.0
19751201,91.24,91.9,90.33,90.67,1605,90.67,1.0
19751202,90.67,90.81,89.08,89.33,1793,89.33,1.0
19751203,88.83,88.83,87.08,87.6,2132,87.6,1.0
19751204,87.6,88.39,86.68,87.84,1638,87.84,1.0
19751205,87.84,88.38,86.54,86.82,1405,86.82,1.0
19751208,86.82,87.75,86.15,87.07,1415,87.07,1.0
19751209,87.07,87.8,86.16,87.3,1604,87.3,1.0
19751210,87.3,88.39,86.91,88.08,1568,88.08,1.0
19751211,88.08,88.79,87.41,87.8,1530,87.8,1.0
19751212,87.8,88.22,87.05,87.83,1310,87.83,1.0
19751215,87.83,88.64,87.32,88.09,1396,88.09,1.0
19751216,88.09,89.49,87.78,88.93,1835,88.93,1.0
19751217,88.93,89.8,88.46,89.15,1656,89.15,1.0
19751218,89.15,90.09,88.62,89.43,1804,89.43,1.0
19751219,89.43,89.81,88.39,88.8,1772,88.8,1.0
19751222,88.8,89.13,87.74,88.14,1534,88.14,1.0
19751223,88.14,89.23,87.64,88.73,1775,88.73,1.0
